X (Hz),Y (dBV),
0,-41.94072,
38.18426,-43.93029,
76.36852,-43.92884,
114.5528,-43.71002,
152.737,-43.68306,
190.9213,-43.353,
229.1056,-43.4215,
267.2898,-43.37564,
305.4741,-42.98664,
343.6584,-42.7321,
381.8426,-42.42748,
420.0269,-42.15942,
458.2111,-42.05333,
496.3954,-41.37458,
534.5797,-40.76268,
572.7639,-40.54319,
610.9482,-39.91483,
649.1324,-39.18796,
687.3167,-38.34111,
725.501,-37.30145,
763.6852,-36.3947,
801.8695,-35.18895,
840.0538,-33.30236,
878.238,-31.23093,
916.4222,-28.17792,
954.6065,-23.33886,
992.7908,-10.40116,
1030.975,-18.70857,
1069.159,-26.51922,
1107.344,-30.71334,
1145.528,-33.56005,
1183.712,-35.92776,
1221.896,-37.50996,
1260.081,-39.02353,
1298.265,-40.5762,
1336.449,-41.77361,
1374.633,-42.82513,
1412.818,-43.76642,
1451.002,-44.51629,
1489.186,-45.67203,
1527.37,-46.51635,
1565.555,-46.95431,
1603.739,-47.76368,
1641.923,-48.49221,
1680.108,-49.17626,
1718.292,-49.84772,
1756.476,-50.22895,
1794.66,-50.7757,
1832.844,-51.56575,
1871.029,-51.99514,
1909.213,-52.64393,
1947.397,-52.95053,
1985.582,-52.94228,
2023.766,-51.91789,
2061.95,-53.87677,
2100.134,-54.32774,
2138.319,-54.98905,
2176.503,-55.37777,
2214.687,-55.99585,
2252.871,-56.36507,
2291.056,-56.6071,
2329.24,-57.09975,
2367.424,-57.54551,
2405.608,-57.97726,
2443.793,-58.41089,
2481.977,-58.62144,
2520.161,-59.10505,
2558.345,-59.70187,
2596.53,-60.017,
2634.714,-60.45345,
2672.898,-60.98352,
2711.083,-61.55589,
2749.267,-62.18477,
2787.451,-62.98897,
2825.635,-64.22735,
2863.82,-65.73512,
2902.004,-69.14283,
2940.188,-83.28561,
2978.372,-61.23847,
3016.557,-39.99592,
3054.741,-54.06155,
3092.925,-56.99745,
3131.109,-58.34457,
3169.294,-59.46205,
3207.478,-59.73358,
3245.662,-60.64713,
3283.846,-61.43084,
3322.031,-61.58087,
3360.215,-61.87893,
3398.399,-62.18872,
3436.583,-62.51749,
3474.768,-63.30143,
3512.952,-63.25313,
3551.136,-63.15946,
3589.321,-63.85708,
3627.505,-64.13409,
3665.689,-64.3103,
3703.873,-64.49514,
3742.058,-64.47941,
3780.242,-64.94424,
3818.426,-65.41132,
3856.61,-65.2526,
3894.795,-65.52751,
3932.979,-65.45068,
3971.163,-65.52396,
4009.347,-62.98465,
4047.532,-66.74537,
4085.716,-66.69391,
4123.9,-67.09315,
4162.084,-67.14371,
4200.269,-67.55163,
4238.453,-67.396,
4276.637,-67.46144,
4314.821,-67.93438,
4353.006,-68.1112,
4391.19,-68.2656,
4429.375,-68.37496,
4467.559,-68.28738,
4505.743,-68.89946,
4543.927,-69.25159,
4582.111,-68.91745,
4620.295,-69.25607,
4658.48,-69.56609,
4696.664,-69.89236,
4734.849,-70.27095,
4773.033,-70.21819,
4811.217,-70.41439,
4849.401,-71.41035,
4887.585,-71.91508,
4925.77,-73.20883,
4963.954,-76.86622,
5002.138,-72.13105,
5040.322,-63.33995,
5078.507,-67.17441,
5116.691,-68.35284,
5154.875,-69.04523,
5193.06,-69.43192,
5231.244,-69.90874,
5269.428,-70.18367,
5307.612,-70.2442,
5345.796,-70.50609,
5383.981,-70.71987,
5422.165,-70.96073,
5460.35,-71.23094,
5498.534,-71.06774,
5536.718,-71.22337,
5574.902,-71.70073,
5613.086,-71.66127,
5651.271,-71.69695,
5689.455,-71.82921,
5727.639,-71.88833,
5765.823,-72.2168,
5804.008,-72.29066,
5842.192,-72.06438,
5880.376,-72.28224,
5918.561,-72.21066,
5956.745,-72.16293,
5994.929,-71.51573,
6033.113,-78.1302,
6071.297,-74.2669,
6109.482,-74.05042,
6147.666,-73.87637,
6185.85,-73.9679,
6224.035,-73.77486,
6262.219,-73.95982,
6300.403,-74.2515,
6338.587,-74.19857,
6376.771,-74.2348,
6414.956,-74.26652,
6453.14,-74.33665,
6491.324,-74.82491,
6529.509,-74.73921,
6567.693,-74.4539,
6605.877,-74.91447,
6644.062,-75.05226,
6682.246,-75.21095,
6720.43,-75.24606,
6758.614,-75.02812,
6796.798,-75.42336,
6834.983,-76.04682,
6873.167,-75.75256,
6911.351,-76.06069,
6949.536,-76.12476,
6987.72,-76.44725,
7025.904,-61.53503,
7064.088,-74.90328,
7102.272,-75.23228,
7140.457,-75.46193,
7178.641,-75.69939,
7216.825,-75.76074,
7255.01,-75.98388,
7293.194,-76.07859,
7331.378,-76.22593,
7369.562,-76.35428,
7407.747,-76.41358,
7445.931,-76.49157,
7484.115,-76.52049,
7522.299,-76.71114,
7560.484,-76.88226,
7598.668,-76.84308,
7636.852,-76.92702,
7675.037,-77.06964,
7713.221,-77.17693,
7751.405,-77.33104,
7789.589,-77.3475,
7827.773,-77.34197,
7865.958,-77.62842,
7904.142,-77.78782,
7942.326,-78.06243,
7980.511,-78.61733,
8018.695,-83.53309,
8056.879,-76.39782,
8095.063,-77.1862,
8133.248,-77.4304,
8171.432,-77.63957,
8209.616,-77.66115,
8247.801,-77.88615,
8285.984,-77.96855,
8324.169,-77.92636,
8362.354,-78.03854,
8400.537,-78.08863,
8438.722,-78.20253,
8476.906,-78.38957,
8515.09,-78.17746,
8553.274,-78.1894,
8591.459,-78.53979,
8629.643,-78.42702,
8667.827,-78.36719,
8706.012,-78.37502,
8744.196,-78.28487,
8782.38,-78.45616,
8820.564,-78.41328,
